Data Quality Rating,Functional Size,Adjusted Function Points,Total Work Effort,Development Type,Package Customisation,Architecture,Web development,Development Platform,Language Type,Used Methodology,Resource Level
B,Small,Low,Great,New Development,No,Stand alone,NonWeb,MF,3GL,No,1
B,Big,High,Great,Enhancement,No,Stand alone,NonWeb,MF,ApG,Yes,4
A,Small,Low,Little,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
A,Small,Low,Great,Enhancement,Dont Know,Stand alone,NonWeb,MF,4GL,Yes,1
A,Small,Low,Little,Enhancement,Dont Know,Stand alone,NonWeb,PC,3GL,Yes,1
A,Small,Low,Little,Enhancement,Dont Know,Stand alone,NonWeb,MF,4GL,No,1
B,Small,Low,Little,Enhancement,No,Stand alone,NonWeb,MR,4GL,No,1
B,Small,Low,Great,Enhancement,Dont Know,Client server,NonWeb,MF,3GL,Yes,1
B,Big,High,Great,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,4
A,Big,Low,Little,Enhancement,No,Stand alone,NonWeb,MF,4GL,No,1
B,Small,High,Great,New Development,No,Stand alone,NonWeb,MR,3GL,Yes,4
B,Small,High,Little,Enhancement,Dont Know,Client server,NonWeb,MF,4GL,Yes,1
B,Small,Low,Little,Enhancement,Dont Know,Client server,NonWeb,PC,4GL,Yes,1
B,Big,Low,Great,New Development,No,Client server,NonWeb,MR,4GL,Yes,1
A,Small,High,Great,Enhancement,Dont Know,Stand alone,NonWeb,MF,4GL,Yes,1
B,Small,Low,Little,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,Small,Low,Little,Enhancement,Dont Know,Stand alone,NonWeb,MF,3GL,No,1
B,Big,High,Great,New Development,No,Multi-tier,NonWeb,MF,3GL,No,1
B,Small,Low,Little,Enhancement,Dont Know,Stand alone,NonWeb,MF,3GL,Yes,1
B,Small,Low,Little,New Development,Dont Know,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
B,Small,Low,Little,Enhancement,No,Stand alone,NonWeb,MF,3GL,Yes,1
B,Big,High,Great,New Development,Dont Know,Stand alone,NonWeb,MF,3GL,No,1
B,Small,Low,Little,Enhancement,No,Stand alone,NonWeb,MF,4GL,No,1
B,Small,Low,Little,Enhancement,Dont Know,Stand alone,NonWeb,MF,3GL,Yes,1
B,Big,Low,Great,Enhancement,Dont Know,Stand alone,NonWeb,MF,3GL,Yes,1
B,Small,Low,Little,Enhancement,Dont Know,Stand alone,NonWeb,MF,3GL,No,1
B,Small,Low,Little,New Development,Dont Know,Multi-tier or Client server,NonWeb,Multi,4GL,Yes,1
B,Small,Low,Little,New Development,No,Stand alone,NonWeb,MF,3GL,No,1
B,Small,Low,Great,Enhancement,Dont Know,Client server,NonWeb,MF,4GL,Yes,1
D,Big,High,Little,Enhancement,No,Client server,NonWeb,MF,3GL,Yes,2
